key,citation_apa7,doi,url,tier,source_type,peer_reviewed,verification_status,access_or_verified_date
Xia2024,"Xia, Q., Weng, X., Ouyang, F., Lin, T. J., & Chiu, T. K. F. (2024). A scoping review on how generative artificial intelligence transforms assessment in higher education. International Journal of Educational Technology in Higher Education, 21(1), Article 40. https://doi.org/10.1186/s41239-024-00468-z",10.1186/s41239-024-00468-z,https://doi.org/10.1186/s41239-024-00468-z,T2,journal,True,PARTIAL,2026-09-17
Jukiewicz2026,"Jukiewicz, M., & Wyrwa, M. (2026). Can ChatGPT replace the teacher in assessment? A review of research on the use of large language models in grading and providing feedback. Applied Sciences, 16(2), Article 680. https://doi.org/10.3390/app16020680",10.3390/app16020680,https://doi.org/10.3390/app16020680,T1,journal,True,VERIFIED,2026-09-17
Crescitelli2026,"Crescitelli, V., Immediato, G., Persia, F., & Costantini, S. (2026). AI evaluation should measure verification cost, not correctness alone [Preprint]. arXiv. https://doi.org/10.48550/arXiv.2608.08709",10.48550/arXiv.2608.08709,https://arxiv.org/abs/2608.08709,T1,preprint,False,checked (status field not recorded),2026-09-17
OECDAI_NAISR,"OECD.AI Policy Observatory. (2026, April 28). National AI Strategy Roadmap 2.0 (NAISR 2.0) [Policy initiative profile]. https://oecd.ai/en/dashboards/policy-initiatives/national-ai-strategy-roadmap-20-naisr-20",,https://oecd.ai/en/dashboards/policy-initiatives/national-ai-strategy-roadmap-20-naisr-20,T3,policy database entry,,VERIFIED,2026-09-17
UNESCORAM2025,UNESCO. (2025). Philippines: Artificial intelligence readiness assessment report (SHS/REI/EAI/2025/AI-RAM/PH). https://unesdoc.unesco.org/ark:/48223/pf0000393860,,https://unesdoc.unesco.org/ark:/48223/pf0000393860,T3,policy/grey,,VERIFIED,2026-09-17
Untalan2026,"Untalan, S. (2026, February 11). ASEAN study flags AI readiness gap as use surges across region. GMA News Online. https://www.gmanetwork.com/news/topstories/nation/976214/asean-study-flags-ai-readiness-gap-as-use-surges-across-region/story/",,https://www.gmanetwork.com/news/topstories/nation/976214/asean-study-flags-ai-readiness-gap-as-use-surges-across-region/story/,T3,news,,VERIFIED,2026-09-17
Gervacio2026,"Gervacio, J. L. M. (2026). Rewriting the rules: The Philippine AI roadmap and its transformative implications for higher education (UP CIDS Discussion Paper Series 2026-10). University of the Philippines Center for Integrative and Development Studies. https://cids.up.edu.ph/discussion_paper/rewriting-rules-philippine-ai-roadmap-transformative-implications-higher-education/",,,T1,discussion paper,False,VERIFIED,2026-09-17
Toquero2026,"Toquero, C. M. (2026). Trends, trajectories and tomorrows of AI regulations in Philippine higher educational institutions. Higher Education Quarterly, 80(1), Article e70090. https://doi.org/10.1111/hequ.70090",10.1111/hequ.70090,https://doi.org/10.1111/hequ.70090,T2,journal,True,VERIFIED,2026-09-17
EDCOM2024,"Vergara, J. P. C. (2024). Navigating the generative artificial intelligence era: Charting the course for curricular reform in higher education in the Philippines (Monograph Series 2024-06). University of the Philippines Center for Integrative and Development Studies. https://cids.up.edu.ph/wp-content/uploads/2024/12/06-Navigating-the-Generative-Artificial-Intelligence-Era-Charting-the-Course-for-Curricular-Reform-in-Higher-Education-in-the-Philippines_Vergara.pdf",,https://cids.up.edu.ph/wp-content/uploads/2024/12/06-Navigating-the-Generative-Artificial-Intelligence-Era-Charting-the-Course-for-Curricular-Reform-in-Higher-Education-in-the-Philippines_Vergara.pdf,T3,,,PARTIAL,2026-09-17
Giray2024IRSQ,"Giray, L., De Silos, P. Y., Adornado, A., Buelo, R. J. V., Galas, E., Reyes-Chua, E., Santiago, C., & Ulanday, M. L. (2024). Use and impact of artificial intelligence in Philippine higher education: Reflections from instructors and administrators. Internet Reference Services Quarterly, 28(3), 315–338. https://doi.org/10.1080/10875301.2024.2352746",10.1080/10875301.2024.2352746,https://doi.org/10.1080/10875301.2024.2352746,T2,journal,False,VERIFIED,2026-09-17
Oladive2026,"Oladive, M. A. (2026, February 27). CHED: AI must not compromise academic integrity in education. Daily Guardian. https://dailyguardian.com.ph/ched-ai-must-not-compromise-academic-integrity-in-education/",,https://dailyguardian.com.ph/ched-ai-must-not-compromise-academic-integrity-in-education/,T3,news,,VERIFIED,2026-09-17
CHEDRAISE2026,"Commission on Higher Education Regional Office XI. (2026, February 25). CHEDX 2.0 coffee table book formally turned over during CHED RAISE 2026. https://ro11.ched.gov.ph/2026/02/25/chedx-2-0-coffee-table-book-formally-turned-over-during-ched-raise-2026/12198/quality-assurance/",,https://ro11.ched.gov.ph/2026/02/25/chedx-2-0-coffee-table-book-formally-turned-over-during-ched-raise-2026/12198/quality-assurance/ ; https://caraga.ched.gov.ph/2026/03/04/ (Caraga HEIs join CHED RAISE Summit 2026),T3,policy/grey,,VERIFIED,2026-09-17
Villarino2025,"Villarino, R. T. H. (2025). Artificial intelligence (AI) integration in rural Philippine higher education: Perspectives, challenges, and ethical considerations. IJERI: International Journal of Educational Research and Innovation, (23), 1–25. https://doi.org/10.46661/ijeri.10909",10.46661/ijeri.10909,https://doi.org/10.46661/ijeri.10909,T1,journal,True,VERIFIED,2026-09-17
DepEd2026,"Department of Education. (2026). Foundational guidelines on artificial intelligence in basic education (DepEd Order No. 003, s. 2026). https://www.deped.gov.ph/wp-content/uploads/DO_s2026_003r-1.pdf",,https://www.deped.gov.ph/wp-content/uploads/DO_s2026_003r-1.pdf (landing: https://www.deped.gov.ph/2026/02/20/february-20-2026-do-003-s-2026-foundational-guidelines-on-artificial-intelligence-ai-in-basic-education/),T3,policy/grey,,VERIFIED,2026-09-17
PAASCU2025,"Philippine Accrediting Association of Schools, Colleges and Universities. (2025). PAASCU guidelines on AI use in accreditation. https://paascu.org.ph/paascu-board-approves-guidelines-on-ai-use-in-accreditation/",,"https://paascu.org.ph/paascu-board-approves-guidelines-on-ai-use-in-accreditation/ (PDF on Google Drive, linked from the page: https://drive.google.com/file/d/1BSKRVeCvfrxeuZMz9dEFwUHQcrcS5iDE/view)",T3,policy/grey,,VERIFIED,2026-09-17
SunStar2025,"SunStar Cebu. (2025, July 21). Filipino households spend less on internet in 2024; access, usage expand. SunStar. https://www.sunstar.com.ph/cebu/filipino-households-spend-less-on-internet-in-2024-access-usage-expand",,https://www.sunstar.com.ph/cebu/filipino-households-spend-less-on-internet-in-2024-access-usage-expand,T3,news,,VERIFIED,2026-09-17
Liang2023,"Liang, W., Yuksekgonul, M., Mao, Y., Wu, E., & Zou, J. (2023). GPT detectors are biased against non-native English writers. Patterns, 4(7), Article 100779. https://doi.org/10.1016/j.patter.2023.100779",10.1016/j.patter.2023.100779,https://doi.org/10.1016/j.patter.2023.100779,T1,journal,True,VERIFIED,2026-09-17
NPC2024,"National Privacy Commission. (2024). Guidelines on the application of Republic Act No. 10173 or the Data Privacy Act of 2012 (DPA), its implementing rules and regulations, and the issuances of the Commission to artificial intelligence systems processing personal data (NPC Advisory No. 2024-04). https://privacy.gov.ph/wp-content/uploads/2025/02/Advisory-2024.12.19-Guidelines-on-Artificial-Intelligence-w-SGD.pdf",,https://privacy.gov.ph/wp-content/uploads/2025/02/Advisory-2024.12.19-Guidelines-on-Artificial-Intelligence-w-SGD.pdf,T3,policy/grey,,VERIFIED,2026-09-17
Perkins2024,"Perkins, M., Furze, L., Roe, J., & MacVaugh, J. (2024). The Artificial Intelligence Assessment Scale (AIAS): A framework for ethical integration of generative AI in educational assessment. Journal of University Teaching and Learning Practice, 21(6). https://doi.org/10.53761/q3azde36",10.53761/q3azde36,https://doi.org/10.53761/q3azde36,T1,journal,True,VERIFIED,2026-09-17
