run_id,case_id,configuration,repetition,check_decision,withheld_by_checks,read,read_in,acceptable,severity,criteria_correct_share,failure_classes
W1-01_astra_r1,W1-01,astra,1,block,True,True,extension,True,None,1.0,
W1-01_astra_r2,W1-01,astra,2,block,True,True,extension,True,None,1.0,
W1-02_astra_r1,W1-02,astra,1,release_with_warning,False,True,study,True,None,1.0,
W1-02_astra_r2,W1-02,astra,2,release_with_warning,False,True,study,True,Minor,1.0,
W1-03_astra_r1,W1-03,astra,1,release_with_warning,False,True,study,True,None,1.0,
W1-03_astra_r2,W1-03,astra,2,release_with_warning,False,True,study,True,None,1.0,
W1-04_astra_r1,W1-04,astra,1,release_with_warning,False,False,unscored,,,,
W1-04_astra_r2,W1-04,astra,2,release_with_warning,False,False,unscored,,,,
W1-05_astra_r1,W1-05,astra,1,release_with_warning,False,True,study,True,None,1.0,
W1-05_astra_r2,W1-05,astra,2,release_with_warning,False,True,study,True,None,1.0,
W1-06_astra_r1,W1-06,astra,1,release_with_warning,False,True,study,True,None,1.0,
W1-06_astra_r2,W1-06,astra,2,release_with_warning,False,True,study,True,None,1.0,
W1-07_astra_r1,W1-07,astra,1,route,True,True,extension,True,None,1.0,
W1-07_astra_r2,W1-07,astra,2,route,True,True,extension,True,None,1.0,
W1-08_astra_r1,W1-08,astra,1,release_with_warning,False,False,unscored,,,,
W1-08_astra_r2,W1-08,astra,2,release_with_warning,False,False,unscored,,,,
W2-01_astra_r1,W2-01,astra,1,release_with_warning,False,False,unscored,,,,
W2-01_astra_r2,W2-01,astra,2,release_with_warning,False,False,unscored,,,,
W2-02_astra_r1,W2-02,astra,1,release_with_warning,False,False,unscored,,,,
W2-02_astra_r2,W2-02,astra,2,release_with_warning,False,False,unscored,,,,
W2-03_astra_r1,W2-03,astra,1,release_with_warning,False,True,study,True,None,1.0,
W2-03_astra_r2,W2-03,astra,2,release_with_warning,False,True,study,True,None,1.0,
W2-04_astra_r1,W2-04,astra,1,release_with_warning,False,False,unscored,,,,
W2-04_astra_r2,W2-04,astra,2,release_with_warning,False,False,unscored,,,,
W2-05_astra_r1,W2-05,astra,1,release_with_warning,False,True,study,True,None,1.0,
W2-05_astra_r2,W2-05,astra,2,release_with_warning,False,True,study,True,None,1.0,
W2-06_astra_r1,W2-06,astra,1,release_with_warning,False,False,unscored,,,,
W2-06_astra_r2,W2-06,astra,2,release_with_warning,False,False,unscored,,,,
W2-07_astra_r1,W2-07,astra,1,release_with_warning,False,True,study,True,None,1.0,
W2-07_astra_r2,W2-07,astra,2,release_with_warning,False,True,study,True,None,1.0,
W2-08_astra_r1,W2-08,astra,1,release_with_warning,False,True,study,True,None,1.0,
W2-08_astra_r2,W2-08,astra,2,release_with_warning,False,True,study,True,None,1.0,
W3-01_astra_r1,W3-01,astra,1,release_with_warning,False,False,unscored,,,,
W3-01_astra_r2,W3-01,astra,2,release_with_warning,False,False,unscored,,,,
W3-02_astra_r1,W3-02,astra,1,release_with_warning,False,True,study,True,None,1.0,
W3-02_astra_r2,W3-02,astra,2,release_with_warning,False,True,study,True,None,1.0,
W3-03_astra_r1,W3-03,astra,1,release_with_warning,False,False,unscored,,,,
W3-03_astra_r2,W3-03,astra,2,release_with_warning,False,False,unscored,,,,
W3-04_astra_r1,W3-04,astra,1,release_with_warning,False,True,study,True,None,1.0,
W3-04_astra_r2,W3-04,astra,2,route,True,True,study,True,None,1.0,
W3-05_astra_r1,W3-05,astra,1,release_with_warning,False,True,study,True,None,1.0,
W3-05_astra_r2,W3-05,astra,2,release_with_warning,False,True,study,True,None,1.0,
W3-06_astra_r1,W3-06,astra,1,release_with_warning,False,False,unscored,,,,
W3-06_astra_r2,W3-06,astra,2,release_with_warning,False,False,unscored,,,,
W3-07_astra_r1,W3-07,astra,1,route,True,True,extension,True,None,1.0,
W3-07_astra_r2,W3-07,astra,2,route,True,True,extension,True,None,1.0,
W3-08_astra_r1,W3-08,astra,1,release_with_warning,False,True,study,True,None,1.0,
W3-08_astra_r2,W3-08,astra,2,release_with_warning,False,True,study,True,None,1.0,
W1-01_luna_r1,W1-01,luna,1,block,True,True,extension,True,None,1.0,
W1-01_luna_r2,W1-01,luna,2,release_with_warning,False,True,extension,True,None,1.0,
W1-02_luna_r1,W1-02,luna,1,release_with_warning,False,True,study,True,Minor,1.0,
W1-02_luna_r2,W1-02,luna,2,release_with_warning,False,True,study,True,None,1.0,
W1-03_luna_r1,W1-03,luna,1,release_with_warning,False,True,study,True,None,1.0,
W1-03_luna_r2,W1-03,luna,2,release_with_warning,False,True,study,True,None,1.0,
W1-04_luna_r1,W1-04,luna,1,release_with_warning,False,False,unscored,,,,
W1-04_luna_r2,W1-04,luna,2,release_with_warning,False,False,unscored,,,,
W1-05_luna_r1,W1-05,luna,1,release_with_warning,False,True,study,True,None,1.0,
W1-05_luna_r2,W1-05,luna,2,release_with_warning,False,True,study,True,None,1.0,
W1-06_luna_r1,W1-06,luna,1,release_with_warning,False,True,study,True,None,1.0,
W1-06_luna_r2,W1-06,luna,2,release_with_warning,False,True,study,True,None,1.0,
W1-07_luna_r1,W1-07,luna,1,release_with_warning,False,True,extension,True,None,1.0,
W1-07_luna_r2,W1-07,luna,2,route,True,True,extension,True,None,1.0,
W1-08_luna_r1,W1-08,luna,1,release_with_warning,False,False,unscored,,,,
W1-08_luna_r2,W1-08,luna,2,release_with_warning,False,False,unscored,,,,
W2-01_luna_r1,W2-01,luna,1,release_with_warning,False,False,unscored,,,,
W2-01_luna_r2,W2-01,luna,2,release_with_warning,False,False,unscored,,,,
W2-02_luna_r1,W2-02,luna,1,release_with_warning,False,False,unscored,,,,
W2-02_luna_r2,W2-02,luna,2,release_with_warning,False,False,unscored,,,,
W2-03_luna_r1,W2-03,luna,1,release_with_warning,False,True,study,True,None,1.0,
W2-03_luna_r2,W2-03,luna,2,release_with_warning,False,True,study,True,None,1.0,
W2-04_luna_r1,W2-04,luna,1,release_with_warning,False,False,unscored,,,,
W2-04_luna_r2,W2-04,luna,2,release_with_warning,False,False,unscored,,,,
W2-05_luna_r1,W2-05,luna,1,release_with_warning,False,True,study,True,None,1.0,
W2-05_luna_r2,W2-05,luna,2,release_with_warning,False,True,study,True,Minor,0.75,
W2-06_luna_r1,W2-06,luna,1,release_with_warning,False,False,unscored,,,,
W2-06_luna_r2,W2-06,luna,2,release_with_warning,False,False,unscored,,,,
W2-07_luna_r1,W2-07,luna,1,release_with_warning,False,True,study,True,None,1.0,
W2-07_luna_r2,W2-07,luna,2,block,True,True,study,True,None,1.0,
W2-08_luna_r1,W2-08,luna,1,route,True,True,study,True,Minor,0.5,
W2-08_luna_r2,W2-08,luna,2,route,True,True,study,True,Minor,0.75,
W3-01_luna_r1,W3-01,luna,1,release_with_warning,False,False,unscored,,,,
W3-01_luna_r2,W3-01,luna,2,release_with_warning,False,False,unscored,,,,
W3-02_luna_r1,W3-02,luna,1,route,True,True,study,True,None,1.0,
W3-02_luna_r2,W3-02,luna,2,release_with_warning,False,True,study,True,None,1.0,
W3-03_luna_r1,W3-03,luna,1,release_with_warning,False,False,unscored,,,,
W3-03_luna_r2,W3-03,luna,2,release_with_warning,False,False,unscored,,,,
W3-04_luna_r1,W3-04,luna,1,release_with_warning,False,True,study,True,Minor,0.667,
W3-04_luna_r2,W3-04,luna,2,block,True,True,study,True,None,1.0,
W3-05_luna_r1,W3-05,luna,1,release_with_warning,False,True,study,True,None,1.0,
W3-05_luna_r2,W3-05,luna,2,release_with_warning,False,True,study,True,None,1.0,
W3-06_luna_r1,W3-06,luna,1,release_with_warning,False,False,unscored,,,,
W3-06_luna_r2,W3-06,luna,2,release_with_warning,False,False,unscored,,,,
W3-07_luna_r1,W3-07,luna,1,route,True,True,extension,True,None,1.0,
W3-07_luna_r2,W3-07,luna,2,route,True,True,extension,True,None,1.0,
W3-08_luna_r1,W3-08,luna,1,release_with_warning,False,True,study,True,None,1.0,
W3-08_luna_r2,W3-08,luna,2,release_with_warning,False,True,study,True,Minor,0.75,
